post_id,platform,text,timestamp,likes,retweets
1.81E+16,Instagram,Where history meets brilliance The iconic Fergusson main buildingan architectural masterpiece that inspires every step of our journey,19/02/2025 13:19,0,0
1.79E+16,Instagram,Unlocking the power of Emotions,13/02/2025 06:17,0,0
1.89E+18,Twitter,Unlocking the power of Emotions,13/02/2025 11:36,2,0
2.44E+17,Twitter,Hi Jamila,08/09/2012 19:37,0,0
2.41E+17,Twitter,Im personally doin gr8 Having series of epiphaniesRT,30/08/2012 23:25,0,0
2.41E+17,Twitter,Great RT,30/08/2012 09:20,0,0
2.41E+17,Twitter,Hope yall doing great RT,29/08/2012 22:46,0,0
